ID Detailed Occupation,Detailed Occupation,ID Year,Year,ID 2 Digit Course,2 Digit Course,ID Workforce Status,Workforce Status,Total Population,Total Population MOE Appx,Average Wage,Average Wage Appx MOE,yocpop RCA,Record Count,Slug Detailed Occupation
"492020","Radio & telecommunications equipment installers & repairers",2017,"2017","11","Computer and Information Sciences and Support Services","true","true",3582,1469.3737727289135,72313.61948632049,11246.577381264191,1.8776044807119219,27,"radio-telecommunications-equipment-installers-repairers"
"419020","Real estate brokers & sales agents",2015,"2015","11","Computer and Information Sciences and Support Services","true","true",3575,1467.9368348300657,75364.76335664335,28434.1144775683,0.5004991233654126,36,"real-estate-brokers-sales-agents"
"132051","Financial analysts",2017,"2017","11","Computer and Information Sciences and Support Services","true","true",3572,1467.3213367282274,146149.92861142216,54762.75018160471,1.215895367326295,35,"financial-analysts"
"472111","Electricians",2016,"2016","11","Computer and Information Sciences and Support Services","true","true",3563,1465.4714037529272,35282.33623351109,12863.5905964638,0.3729310129459396,26,"electricians"
"533054","Taxi drivers",2018,"2018","11","Computer and Information Sciences and Support Services","true","true",3539,1460.5280418953196,31331.333992653294,10828.918753209246,0.9197774222925321,23,"taxi-drivers"
"212011","Clergy",2016,"2016","11","Computer and Information Sciences and Support Services","true","true",3521,1456.8086531250976,48282.26696961091,11637.60097051749,0.6407990230109223,38,"clergy"
"353031","Waiters & waitresses",2017,"2017","11","Computer and Information Sciences and Support Services","true","true",3481,1448.5105180653352,16903.73455903476,4010.9932248687196,0.11648393517134716,28,"waiters-waitresses"
"419020","Real estate brokers & sales agents",2016,"2016","11","Computer and Information Sciences and Support Services","true","true",3479,1448.0940762935204,95276.87180224202,40363.496025392546,0.4488312985186865,33,"real-estate-brokers-sales-agents"
"37201X","Janitors & building cleaners",2017,"2017","11","Computer and Information Sciences and Support Services","true","true",3464,1444.9692600695967,24848.393475750578,6858.4739461964,0.10315739280871411,30,"janitors-building-cleaners"
"435061","Production, planning, & expediting clerks",2017,"2017","11","Computer and Information Sciences and Support Services","true","true",3464,1444.9692600695967,68994.96766743649,15750.143163043997,0.7486160471345692,31,"production-planning-expediting-clerks"
"132052","Personal financial advisors",2017,"2017","11","Computer and Information Sciences and Support Services","true","true",3464,1444.9692600695967,155122.05542725173,65655.35788325097,0.7299321186029721,44,"personal-financial-advisors"
"119141","Property, real estate, & community association managers",2018,"2018","11","Computer and Information Sciences and Support Services","true","true",3449,1441.8375985503585,66008.54334589736,22968.619128364884,0.4365412906813702,32,"property-real-estate-community-association-managers"
"273043","Writers & authors",2018,"2018","11","Computer and Information Sciences and Support Services","true","true",3437,1439.3272000890254,102168.42857142857,41836.41151675748,1.3765734383651862,32,"writers-authors"
"499071","Maintenance & repair workers, general",2015,"2015","11","Computer and Information Sciences and Support Services","true","true",3435,1438.9076712778738,48115.96768558952,8111.8903256153,0.5513680850665966,25,"maintenance-repair-workers-general"
"172110","Industrial engineers, including health & safety",2016,"2016","11","Computer and Information Sciences and Support Services","true","true",3433,1438.4889595675345,91916.38625109234,11061.305626658694,1.3106775743473382,36,"industrial-engineers-including-health-safety"
"333050","Police officers",2014,"2014","11","Computer and Information Sciences and Support Services","true","true",3412,1434.082079360964,80379.62924970692,13798.202722189571,0.3822237032386325,23,"police-officers"
