ID PUMA,PUMA,ID Year,Year,ID Workforce Status,Workforce Status,ygcpop RCA,Total Population,Total Population MOE Appx,Average Wage,Average Wage Appx MOE,Record Count,Slug PUMA,CIP2,ID CIP2
"79500US4804702","League City & Friendswood City PUMA, TX",2014,"2014","true","true",0.7234760092607017,591,594.3314951756909,73475.10829103214,29959.40900049267,7,"league-city-&-friendswood-city-puma-tx","Computer and Information Sciences and Support Services","11"
"79500US2701407","Minneapolis City (Southwest) PUMA, MN",2014,"2014","true","true",1.0282394668919548,999,771.3261659124651,47965.902902902904,10740.32871568606,5,"minneapolis-city-(southwest)-puma-mn","Computer and Information Sciences and Support Services","11"
"79500US2701402","Plymouth, Maple Grove (West) & Medicine Lake Cities PUMA, MN",2014,"2014","true","true",2.4879908438771317,1748,1011.4681135576516,86683.70594965675,27313.551887332305,9,"plymouth-maple-grove-(west)-&-medicine-lake-cities-puma-mn","Computer and Information Sciences and Support Services","11"
"79500US2701304","St. Paul City (West) PUMA, MN",2014,"2014","true","true",1.7576974999475439,1684,997.1229739122846,54624.71852731591,21005.821571961635,9,"st.-paul-city-(west)-puma-mn","Computer and Information Sciences and Support Services","11"
"79500US4804801","Brazoria County (North)Pearland City PUMA, TX",2014,"2014","true","true",1.5621351022414363,1055,790.1488016689301,61690.758293838866,21192.882431853795,5,"brazoria-county-(north)-pearland-city-puma-tx","Computer and Information Sciences and Support Services","11"
"79500US2701302","Maplewood, Roseville & North St. Paul Cities PUMA, MN",2014,"2014","true","true",1.2644014784102091,782,681.4791702409141,59007.04859335038,26697.56144567421,6,"maplewood-roseville-&-north-st.-paul-cities-puma-mn","Computer and Information Sciences and Support Services","11"
"79500US2701201","Oakdale, Forest Lake, Stillwater & Hugo Cities PUMA, MN",2014,"2014","true","true",0.657046112119843,491,541.9326655143244,78741.35641547861,49100.88719797174,5,"oakdale-forest-lake-stillwater-&-hugo-cities-puma-mn","Computer and Information Sciences and Support Services","11"
"79500US2701103","Blaine, Lino Lakes & Ham Lake Cities PUMA, MN",2014,"2014","true","true",2.1578319580960095,1568,959.873088495801,91503.63456632652,38808.96683115856,9,"blaine-lino-lakes-&-ham-lake-cities-puma-mn","Computer and Information Sciences and Support Services","11"
"79500US2701101","Andover, Ramsey, Anoka & East Bethel Cities PUMA, MN",2014,"2014","true","true",2.4943699690484085,1561,955.7983954895401,110521.70083279948,62570.38621254934,9,"andover-ramsey-anoka-&-east-bethel-cities-puma-mn","Computer and Information Sciences and Support Services","11"
"79500US4804901","Missouri City PUMA, TX",2014,"2014","true","true",1.5294946950767776,922,738.809184300408,80127.13123644251,16860.106274136255,7,"missouri-city-puma-tx","Computer and Information Sciences and Support Services","11"
"79500US2603213","I-94 Corridor PUMA, MI",2014,"2014","true","true",1.7886332197749544,842,704.9425668410566,98157.35866983373,44888.289152761565,6,"i-94-corridor-puma-mi","Computer and Information Sciences and Support Services","11"
"79500US2603204","Westland, Garden City, Inkster & Wayne Cities PUMA, MI",2014,"2014","true","true",0.5885861799585735,480,536.0432406880007,37565.722916666666,29623.745742671897,5,"westland-garden-city-inkster-&-wayne-cities-puma-mi","Computer and Information Sciences and Support Services","11"
"79500US2603203","Dearborn & Dearborn Heights Cities PUMA, MI",2014,"2014","true","true",1.023034602168873,658,626.0104836094188,38098.69604863222,22388.932963359828,7,"dearborn-&-dearborn-heights-cities-puma-mi","Computer and Information Sciences and Support Services","11"
"79500US4804902","Sugar Land & Stafford Cities PUMA, TX",2014,"2014","true","true",2.9370481489138944,2187,1128.3182882119766,127494.52309099222,45373.13751263535,19,"sugar-land-&-stafford-cities-puma-tx","Computer and Information Sciences and Support Services","11"
"79500US2603202","Livonia City & Redford Charter Township PUMA, MI",2014,"2014","true","true",0.9069561272062798,759,672.8013063613685,62523.678524374176,23758.424704100093,5,"livonia-city-&-redford-charter-township-puma-mi","Computer and Information Sciences and Support Services","11"
"79500US2603201","Wayne County (Northwest) PUMA, MI",2014,"2014","true","true",0.972480314833373,1004,773.5084032448633,83524.50697211156,35992.577062637174,9,"wayne-county-(northwest)-puma-mi","Computer and Information Sciences and Support Services","11"
"79500US2603006","Warren & Center Line Cities PUMA, MI",2014,"2014","true","true",0.8941037970015602,608,602.2136812813202,65942.37171052632,21969.1421455709,5,"warren-&-center-line-cities-puma-mi","Computer and Information Sciences and Support Services","11"
"79500US2603005","St. Clair Shores, Roseville & Eastpointe Area PUMA, MI",2014,"2014","true","true",0.841015240226203,580,588.367437697722,59783.95862068966,16038.773832691968,6,"st.-clair-shores-roseville-&-eastpointe-area-puma-mi","Computer and Information Sciences and Support Services","11"
