ID CIP6,CIP6,ID Year,Year,ID University,University,ID Gender,Gender,Completions,Slug University,Slug CIP6
"140801","General Civil Engineering",2017,"2017","211440","Carnegie Mellon University",2,"Women",54,"carnegie-mellon-university","general-civil-engineering"
"110701","Computer Science",2017,"2017","211440","Carnegie Mellon University",2,"Women",54,"carnegie-mellon-university","computer-science-6"
"270501","General Statistics",2017,"2017","211440","Carnegie Mellon University",2,"Women",53,"carnegie-mellon-university","general-statistics"
"140701","Chemical Engineering",2016,"2016","211440","Carnegie Mellon University",2,"Women",53,"carnegie-mellon-university","chemical-engineering-6"
"140903","Computer Software Engineering",2017,"2017","211440","Carnegie Mellon University",2,"Women",53,"carnegie-mellon-university","computer-software-engineering"
"140501","Bioengineering & Biomedical Engineering",2016,"2016","211440","Carnegie Mellon University",2,"Women",53,"carnegie-mellon-university","bioengineering-biomedical-engineering"
"140701","Chemical Engineering",2013,"2013","211440","Carnegie Mellon University",2,"Women",51,"carnegie-mellon-university","chemical-engineering-6"
"140701","Chemical Engineering",2017,"2017","211440","Carnegie Mellon University",2,"Women",51,"carnegie-mellon-university","chemical-engineering-6"
"141901","Mechanical Engineering",2013,"2013","211440","Carnegie Mellon University",2,"Women",51,"carnegie-mellon-university","mechanical-engineering-6"
"300601","Systems Science & Theory",2015,"2015","211440","Carnegie Mellon University",2,"Women",50,"carnegie-mellon-university","systems-science-theory-6"
"110701","Computer Science",2016,"2016","211440","Carnegie Mellon University",2,"Women",50,"carnegie-mellon-university","computer-science-6"
"420101","General Psychology",2012,"2012","211440","Carnegie Mellon University",2,"Women",49,"carnegie-mellon-university","general-psychology-6"
"401001","Materials Science",2013,"2013","211440","Carnegie Mellon University",2,"Women",49,"carnegie-mellon-university","materials-science"
"110701","Computer Science",2014,"2014","211440","Carnegie Mellon University",2,"Women",48,"carnegie-mellon-university","computer-science-6"
"420101","General Psychology",2013,"2013","211440","Carnegie Mellon University",2,"Women",48,"carnegie-mellon-university","general-psychology-6"
"300601","Systems Science & Theory",2017,"2017","211440","Carnegie Mellon University",2,"Women",47,"carnegie-mellon-university","systems-science-theory-6"
"420101","General Psychology",2014,"2014","211440","Carnegie Mellon University",2,"Women",46,"carnegie-mellon-university","general-psychology-6"
"401001","Materials Science",2014,"2014","211440","Carnegie Mellon University",2,"Women",46,"carnegie-mellon-university","materials-science"
"420101","General Psychology",2015,"2015","211440","Carnegie Mellon University",2,"Women",43,"carnegie-mellon-university","general-psychology-6"
"270501","General Statistics",2016,"2016","211440","Carnegie Mellon University",2,"Women",43,"carnegie-mellon-university","general-statistics"
"300601","Systems Science & Theory",2014,"2014","211440","Carnegie Mellon University",2,"Women",42,"carnegie-mellon-university","systems-science-theory-6"
"300601","Systems Science & Theory",2013,"2013","211440","Carnegie Mellon University",2,"Women",42,"carnegie-mellon-university","systems-science-theory-6"
"260101","General Biological Sciences",2012,"2012","211440","Carnegie Mellon University",2,"Women",42,"carnegie-mellon-university","general-biological-sciences"
"110701","Computer Science",2013,"2013","211440","Carnegie Mellon University",2,"Women",42,"carnegie-mellon-university","computer-science-6"
"401001","Materials Science",2016,"2016","211440","Carnegie Mellon University",2,"Women",40,"carnegie-mellon-university","materials-science"
"501001","General Arts, Entertainment, & Media Management",2014,"2014","211440","Carnegie Mellon University",2,"Women",40,"carnegie-mellon-university","general-arts-entertainment-media-management"
"420101","General Psychology",2016,"2016","211440","Carnegie Mellon University",2,"Women",39,"carnegie-mellon-university","general-psychology-6"
"401001","Materials Science",2017,"2017","211440","Carnegie Mellon University",2,"Women",37,"carnegie-mellon-university","materials-science"
"110803","Computer Graphics",2014,"2014","211440","Carnegie Mellon University",2,"Women",36,"carnegie-mellon-university","computer-graphics"
"270501","General Statistics",2015,"2015","211440","Carnegie Mellon University",2,"Women",36,"carnegie-mellon-university","general-statistics"
"231303","Professional, Technical, Business, & Scientific Writing",2014,"2014","211440","Carnegie Mellon University",2,"Women",35,"carnegie-mellon-university","professional-technical-business-scientific-writing"
"420101","General Psychology",2017,"2017","211440","Carnegie Mellon University",2,"Women",35,"carnegie-mellon-university","general-psychology-6"
"140903","Computer Software Engineering",2014,"2014","211440","Carnegie Mellon University",2,"Women",35,"carnegie-mellon-university","computer-software-engineering"
"270501","General Statistics",2014,"2014","211440","Carnegie Mellon University",2,"Women",35,"carnegie-mellon-university","general-statistics"
"400501","General Chemistry",2014,"2014","211440","Carnegie Mellon University",2,"Women",35,"carnegie-mellon-university","general-chemistry"
"141901","Mechanical Engineering",2012,"2012","211440","Carnegie Mellon University",2,"Women",35,"carnegie-mellon-university","mechanical-engineering-6"
"300601","Systems Science & Theory",2012,"2012","211440","Carnegie Mellon University",2,"Women",34,"carnegie-mellon-university","systems-science-theory-6"
"110701","Computer Science",2012,"2012","211440","Carnegie Mellon University",2,"Women",34,"carnegie-mellon-university","computer-science-6"
