ID Year,Year,ID Industry Group,Industry Group,ID Workforce Status,Workforce Status,Total Population,Average Wage,Average Wage Appx MOE,Total Population MOE Appx,Record Count,CIP2,ID CIP2
2017,"2017","611M1","Colleges, universities & professional schools, including junior colleges","true","true",86557,61577.699515925924,3771.240299988812,7221.020516521516,845,"Computer and Information Sciences and Support Services","11"
2017,"2017","6111","Elementary & secondary schools","true","true",48984,54994.7236240405,3885.618471614176,5432.876872986115,509,"Computer and Information Sciences and Support Services","11"
2017,"2017","5415","Computer Systems Design","true","true",480618,107927.57937904948,2543.707440871468,16992.8845178289,4362,"Computer and Information Sciences and Support Services","11"
2017,"2017","5413","Architectural, engineering & related services","true","true",30596,104802.96443979605,8853.548670963643,4294.0006264735175,308,"Computer and Information Sciences and Support Services","11"
2017,"2017","23","Construction","true","true",25573,74324.66527196653,10459.330345516006,3925.7984747815553,232,"Computer and Information Sciences and Support Services","11"
2017,"2017","611M1","Colleges, universities & professional schools, including junior colleges","true","true",16066,66349.614589817,9961.8153092272,3111.7523154156784,165,"Architecture and Related Services","04"
2017,"2017","6111","Elementary & secondary schools","true","true",9992,62143.181645316254,16160.97656846501,2454.0662480062238,116,"Architecture and Related Services","04"
2017,"2017","5415","Computer Systems Design","true","true",4423,113157.53719195117,37106.62620310925,1632.7764445178816,55,"Architecture and Related Services","04"
2017,"2017","5413","Architectural, engineering & related services","true","true",133738,89368.0535898548,5037.056237944609,8974.401278546287,1442,"Architecture and Related Services","04"
2017,"2017","611M1","Colleges, universities & professional schools, including junior colleges","true","true",153109,70855.79789561685,4848.99672065471,9601.739718622306,1630,"Physical Sciences","40"
2016,"2016","23","Construction","true","true",33332,80964.56867274691,9516.521502351448,4481.832868952463,301,"Architecture and Related Services","04"
2016,"2016","5413","Architectural, engineering & related services","true","true",128832,83449.66440791108,4615.589275956894,8808.341297052642,1318,"Architecture and Related Services","04"
2016,"2016","5415","Computer Systems Design","true","true",5617,99381.39932348228,24582.120382620782,1840.0032126278657,58,"Architecture and Related Services","04"
