ID CIP6,CIP6,ID Year,Year,ID University,University,ID Gender,Gender,Completions,Slug University,Slug CIP6
"110103","Information Technology",2014,"2014","211440","Carnegie Mellon University",1,"Men",461,"carnegie-mellon-university","information-technology"
"110103","Information Technology",2015,"2015","211440","Carnegie Mellon University",1,"Men",396,"carnegie-mellon-university","information-technology"
"141001","Electrical & Electronics Engineering",2016,"2016","211440","Carnegie Mellon University",1,"Men",376,"carnegie-mellon-university","electrical-electronics-engineering"
"110103","Information Technology",2016,"2016","211440","Carnegie Mellon University",1,"Men",363,"carnegie-mellon-university","information-technology"
"110103","Information Technology",2017,"2017","211440","Carnegie Mellon University",1,"Men",337,"carnegie-mellon-university","information-technology"
"141001","Electrical & Electronics Engineering",2014,"2014","211440","Carnegie Mellon University",1,"Men",337,"carnegie-mellon-university","electrical-electronics-engineering"
"110103","Information Technology",2013,"2013","211440","Carnegie Mellon University",1,"Men",322,"carnegie-mellon-university","information-technology"
"141001","Electrical & Electronics Engineering",2015,"2015","211440","Carnegie Mellon University",1,"Men",320,"carnegie-mellon-university","electrical-electronics-engineering"
"141001","Electrical & Electronics Engineering",2013,"2013","211440","Carnegie Mellon University",1,"Men",305,"carnegie-mellon-university","electrical-electronics-engineering"
"141001","Electrical & Electronics Engineering",2012,"2012","211440","Carnegie Mellon University",1,"Men",296,"carnegie-mellon-university","electrical-electronics-engineering"
"141001","Electrical & Electronics Engineering",2017,"2017","211440","Carnegie Mellon University",1,"Men",293,"carnegie-mellon-university","electrical-electronics-engineering"
"110103","Information Technology",2012,"2012","211440","Carnegie Mellon University",1,"Men",274,"carnegie-mellon-university","information-technology"
"520201","General Business Administration & Management",2017,"2017","211440","Carnegie Mellon University",1,"Men",263,"carnegie-mellon-university","general-business-administration-management"
"520201","General Business Administration & Management",2016,"2016","211440","Carnegie Mellon University",1,"Men",237,"carnegie-mellon-university","general-business-administration-management"
"520201","General Business Administration & Management",2015,"2015","211440","Carnegie Mellon University",1,"Men",231,"carnegie-mellon-university","general-business-administration-management"
"141901","Mechanical Engineering",2017,"2017","211440","Carnegie Mellon University",1,"Men",229,"carnegie-mellon-university","mechanical-engineering-6"
"520201","General Business Administration & Management",2014,"2014","211440","Carnegie Mellon University",1,"Men",227,"carnegie-mellon-university","general-business-administration-management"
"520201","General Business Administration & Management",2012,"2012","211440","Carnegie Mellon University",1,"Men",224,"carnegie-mellon-university","general-business-administration-management"
"520201","General Business Administration & Management",2013,"2013","211440","Carnegie Mellon University",1,"Men",221,"carnegie-mellon-university","general-business-administration-management"
"141901","Mechanical Engineering",2015,"2015","211440","Carnegie Mellon University",1,"Men",215,"carnegie-mellon-university","mechanical-engineering-6"
"110701","Computer Science",2015,"2015","211440","Carnegie Mellon University",1,"Men",211,"carnegie-mellon-university","computer-science-6"
"110701","Computer Science",2016,"2016","211440","Carnegie Mellon University",1,"Men",208,"carnegie-mellon-university","computer-science-6"
"110701","Computer Science",2014,"2014","211440","Carnegie Mellon University",1,"Men",208,"carnegie-mellon-university","computer-science-6"
"141901","Mechanical Engineering",2014,"2014","211440","Carnegie Mellon University",1,"Men",205,"carnegie-mellon-university","mechanical-engineering-6"
"110701","Computer Science",2017,"2017","211440","Carnegie Mellon University",1,"Men",200,"carnegie-mellon-university","computer-science-6"
"141901","Mechanical Engineering",2016,"2016","211440","Carnegie Mellon University",1,"Men",180,"carnegie-mellon-university","mechanical-engineering-6"
"141901","Mechanical Engineering",2013,"2013","211440","Carnegie Mellon University",1,"Men",177,"carnegie-mellon-university","mechanical-engineering-6"
"110701","Computer Science",2012,"2012","211440","Carnegie Mellon University",1,"Men",166,"carnegie-mellon-university","computer-science-6"
"110701","Computer Science",2013,"2013","211440","Carnegie Mellon University",1,"Men",154,"carnegie-mellon-university","computer-science-6"
"141901","Mechanical Engineering",2012,"2012","211440","Carnegie Mellon University",1,"Men",151,"carnegie-mellon-university","mechanical-engineering-6"
"140903","Computer Software Engineering",2012,"2012","211440","Carnegie Mellon University",1,"Men",135,"carnegie-mellon-university","computer-software-engineering"
"140903","Computer Software Engineering",2014,"2014","211440","Carnegie Mellon University",1,"Men",119,"carnegie-mellon-university","computer-software-engineering"
"144201","Mechatronics, Robotics, & Automation Engineering",2017,"2017","211440","Carnegie Mellon University",1,"Men",116,"carnegie-mellon-university","mechatronics-robotics-automation-engineering"
"144201","Mechatronics, Robotics, & Automation Engineering",2016,"2016","211440","Carnegie Mellon University",1,"Men",104,"carnegie-mellon-university","mechatronics-robotics-automation-engineering"
"440501","General Public Policy Analysis",2013,"2013","211440","Carnegie Mellon University",1,"Men",103,"carnegie-mellon-university","general-public-policy-analysis"
"140801","General Civil Engineering",2015,"2015","211440","Carnegie Mellon University",1,"Men",90,"carnegie-mellon-university","general-civil-engineering"
"440501","General Public Policy Analysis",2012,"2012","211440","Carnegie Mellon University",1,"Men",90,"carnegie-mellon-university","general-public-policy-analysis"
"140801","General Civil Engineering",2016,"2016","211440","Carnegie Mellon University",1,"Men",89,"carnegie-mellon-university","general-civil-engineering"
"144201","Mechatronics, Robotics, & Automation Engineering",2015,"2015","211440","Carnegie Mellon University",1,"Men",88,"carnegie-mellon-university","mechatronics-robotics-automation-engineering"
"140801","General Civil Engineering",2014,"2014","211440","Carnegie Mellon University",1,"Men",88,"carnegie-mellon-university","general-civil-engineering"
"140701","Chemical Engineering",2015,"2015","211440","Carnegie Mellon University",1,"Men",88,"carnegie-mellon-university","chemical-engineering-6"
